Date,Location,Site,Observer,Depth (m)
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6
