Species,Scientific Name
moluccensis,Pomacentrus moluccensis
adelus,Pomacentrus adelus
strigiventer,Stethojulis strigiventer
vaiuli,Pomacentrus vaiuli
dickii,Plectroglyphidodon dickii
bankanensis,Pomacentrus bankanensis
fasciolatus,Stegastes fasciolatus
rex,Chrysiptera rex
coelestis,Pomacentrus coelestis
marginatus,Halichoeres marginatus
lacrymatus,Plectroglyphidodon lacrymatus
lunare,Thalassoma lunare
melanurus,Halichoeres melanurus
polyacanthus,Acanthochromis polyacanthus
cornutus,Zanclus cornutus
