Location,Visibility (m)
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",10
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
"Calatagan, Batangas",9
